source_file,source_url,target_url,anchor,score,cluster
content\blog\fr\workflow-ia-pme-suisse.md,https://iapmesuisse.ch/fr/blog/workflow-ia-pme-suisse,https://iapmesuisse.ch/fr/blog/audit-workflow-ia-pme-suisse,Audit workflow IA PME suisse : methode avant automatisation,81.29,4
content\blog\fr\financement-innovation-pme-suisse-2026.md,https://iapmesuisse.ch/fr/blog/financement-innovation-pme-suisse-2026,https://iapmesuisse.ch/fr/blog/aides-innovation-suisse-2026,Aides à l'innovation Suisse 2026 : guide complet pour PME et startups,72.17,3
content\blog\fr\ia-pour-pme-suisses-cas-usages-2026.md,https://iapmesuisse.ch/fr/blog/ia-pour-pme-suisses-cas-usages-2026,https://iapmesuisse.ch/fr/blog/automatisation-ia-b2b-suisse,"Automatisation IA B2B en Suisse : workflows, CRM et agents",71.95,4
content\blog\fr\ia-automatisation-suisse-pme.md,https://iapmesuisse.ch/fr/blog/ia-automatisation-suisse-pme,https://iapmesuisse.ch/fr/blog/audit-workflow-ia-pme-suisse,Audit workflow IA PME suisse : methode avant automatisation,71.79,4
content\blog\fr\ia-pour-pme-suisses-cas-usages-2026.md,https://iapmesuisse.ch/fr/blog/ia-pour-pme-suisses-cas-usages-2026,https://iapmesuisse.ch/fr/blog/agent-ia-service-client-pme-suisse,Agent IA service client : PME suisse et support multilingue,70.76,4
content\blog\fr\agent-ia-hubspot-pme-suisse.md,https://iapmesuisse.ch/fr/blog/agent-ia-hubspot-pme-suisse,https://iapmesuisse.ch/fr/blog/agent-ia-vente-prospection-suisse,Agent IA vente et prospection B2B en Suisse,67.12,4
content\blog\fr\ia-automatisation-suisse-pme.md,https://iapmesuisse.ch/fr/blog/ia-automatisation-suisse-pme,https://iapmesuisse.ch/fr/blog/automatisation-ia-b2b-suisse,"Automatisation IA B2B en Suisse : workflows, CRM et agents",66.59,4
content\blog\fr\subventions-pme-suisse-2026-04-14.md,https://iapmesuisse.ch/fr/blog/subventions-pme-suisse-2026-04-14,https://iapmesuisse.ch/fr/blog/subventions-pme-suisse-guide-2026,"Subventions PME Suisse 2026 : guide complet des aides fédérales, cantonales et européennes",65.37,3
content\blog\fr\optimisation-seo-suisse-francophone-ia.md,https://iapmesuisse.ch/fr/blog/optimisation-seo-suisse-francophone-ia,https://iapmesuisse.ch/fr/blog/maillage-interne-seo-ia-pme-suisse,Maillage interne SEO IA : architecture pour PME suisse,65.25,1
content\blog\fr\workflow-ia-pme-suisse.md,https://iapmesuisse.ch/fr/blog/workflow-ia-pme-suisse,https://iapmesuisse.ch/fr/blog/agent-ia-hubspot-pme-suisse,Agent IA HubSpot : automatiser vente et marketing en PME suisse,64.02,4
content\blog\fr\ecosysteme-innosuisse-epfl-heg-aides-pme.md,https://iapmesuisse.ch/fr/blog/ecosysteme-innosuisse-epfl-heg-aides-pme,https://iapmesuisse.ch/fr/blog/subventions-pme-suisse-guide-2026,"Subventions PME Suisse 2026 : guide complet des aides fédérales, cantonales et européennes",64.02,3
content\blog\fr\chatgpt-entreprise-suisse-pme.md,https://iapmesuisse.ch/fr/blog/chatgpt-entreprise-suisse-pme,https://iapmesuisse.ch/fr/blog/agent-ia-direction-pme-suisse,Agent IA pour direction de PME suisse : pilotage et decision,63.14,4
content\blog\fr\scenario-ia-make-pme-suisse.md,https://iapmesuisse.ch/fr/blog/scenario-ia-make-pme-suisse,https://iapmesuisse.ch/fr/blog/automatisation-ia-b2b-suisse,"Automatisation IA B2B en Suisse : workflows, CRM et agents",63.1,4
content\blog\fr\automatisation-processus-ia-pme-checklist.md,https://iapmesuisse.ch/fr/blog/automatisation-processus-ia-pme-checklist,https://iapmesuisse.ch/fr/blog/automatisation-ia-b2b-suisse,"Automatisation IA B2B en Suisse : workflows, CRM et agents",62.51,4
content\blog\fr\financement-innovation-pme-suisse-2026.md,https://iapmesuisse.ch/fr/blog/financement-innovation-pme-suisse-2026,https://iapmesuisse.ch/fr/blog/subventions-pme-suisse-guide-2026,"Subventions PME Suisse 2026 : guide complet des aides fédérales, cantonales et européennes",62.37,3
content\blog\fr\scenario-ia-make-pme-suisse.md,https://iapmesuisse.ch/fr/blog/scenario-ia-make-pme-suisse,https://iapmesuisse.ch/fr/blog/intelligence-artificielle-suisse-pme-guide-operationnel,Intelligence artificielle Suisse PME : guide operationnel,62.22,4
content\blog\fr\automatisation-processus-ia-pme-checklist.md,https://iapmesuisse.ch/fr/blog/automatisation-processus-ia-pme-checklist,https://iapmesuisse.ch/fr/blog/intelligence-artificielle-suisse-pme-guide-operationnel,Intelligence artificielle Suisse PME : guide operationnel,61.7,4
content\blog\fr\plateforme-agent-ia-pme-suisse.md,https://iapmesuisse.ch/fr/blog/plateforme-agent-ia-pme-suisse,https://iapmesuisse.ch/fr/blog/agent-ia-industrie-pme-suisse,"Agent IA industrie PME suisse : operations, qualite et documentation",61.41,4
content\blog\fr\agent-ia-industrie-pme-suisse.md,https://iapmesuisse.ch/fr/blog/agent-ia-industrie-pme-suisse,https://iapmesuisse.ch/fr/blog/agent-ia-service-client-pme-suisse,Agent IA service client : PME suisse et support multilingue,61.19,4
content\blog\fr\agent-ia-service-client-pme-suisse.md,https://iapmesuisse.ch/fr/blog/agent-ia-service-client-pme-suisse,https://iapmesuisse.ch/fr/blog/agent-ia-industrie-pme-suisse,"Agent IA industrie PME suisse : operations, qualite et documentation",61.19,4
content\blog\fr\agent-ia-hubspot-pme-suisse.md,https://iapmesuisse.ch/fr/blog/agent-ia-hubspot-pme-suisse,https://iapmesuisse.ch/fr/blog/plateforme-agent-ia-pme-suisse,Plateforme agent IA : comparatif pour PME suisses,60.53,4
content\blog\fr\agent-ia-service-client-pme-suisse.md,https://iapmesuisse.ch/fr/blog/agent-ia-service-client-pme-suisse,https://iapmesuisse.ch/fr/blog/agent-ia-hubspot-pme-suisse,Agent IA HubSpot : automatiser vente et marketing en PME suisse,60.43,4
content\blog\fr\roi-intelligence-artificielle-pme-suisse.md,https://iapmesuisse.ch/fr/blog/roi-intelligence-artificielle-pme-suisse,https://iapmesuisse.ch/fr/blog/roi-ia-transformation-numerique-guide-calcul-2026,ROI de l'IA et transformation numérique : guide de calcul pour PME suisses 2026,59.93,9
content\blog\fr\aides-innovation-suisse-2026.md,https://iapmesuisse.ch/fr/blog/aides-innovation-suisse-2026,https://iapmesuisse.ch/fr/blog/subventions-pme-suisse-guide-2026,"Subventions PME Suisse 2026 : guide complet des aides fédérales, cantonales et européennes",59.9,3
